text,span,label,pred
This is one great place to eat pizza more out but not a good place for take-out pizza.,take-out pizza,negative,positive
"While they keep the capex to a minimum, they do put some cash into the bagels, because they among the best in the city.",capex,positive,neutral
"The cuisine from what I've gathered is authentic Taiwanese, though its very different from what I've been accustomed to in Taipei.",cuisine,neutral,positive
"Overall, the ingredients and technique are there and I am encouraged enough to return at lunch or dinner to see whether the boldness of the flavour palette improves.",ingredients,positive,neutral
"When you want a piece of beef, head on over.",beef,positive,neutral
Don't eat here unless you're starving for thai food and you work next door.,thai food,negative,neutral
"We had great desserts (including the best cannoli I've ever had) and then they offered an after dinner drink, on the house.",after dinner drink,positive,neutral
The service is a little scatty at times but all is forgiven when the food arrives.,service,negative,positive
Yes you have to wait to be seated and because its small there is no waiting area and the seat at the bar was all taken.,bar,neutral,negative
"We figured we never had Argentinian Pizza before so we grabbed our lunch there, sharing a large Pelligrino, a pizza of two of their specials, one was goat cheese the other blue cheese, and both were excellent.",Pelligrino,positive,neutral
"The cafe itself was really nice with comfortable outdoor chairs and tables, but the service could have been better.",service,negative,positive
They offer the same menu but have creative drinks that are loaded with alcohol and cheeky names -- but they do cost you.,drinks,positive,neutral
"Really though, where's the seasoning?",seasoning,negative,neutral
"It's like they took leftover chicken, poured oil and sprinkled pepper powder over it (the sauce was translucent and red).",sauce,negative,neutral
The food is nothing like its menu description.,food,negative,neutral
"Staffs are not that friendly, but the taste covers all.",Staffs,negative,positive
The last time I went we were seated at a table in a corridor next to the kitchen.,table,negative,neutral
Although they do the typical what kind of water would you like questions the service was good and overall very relaxing to place to eat.,place,positive,neutral
"I had the cod with paella (spicy and very filling, I'm a big eater and could only eat half) while my boyfriend had the classic fish and chips (again, a big serving - at least 5 pieces of fish and a basketful of fries).",serving,negative,neutral
The fish is fresh but the variety of fish is nothing out of ordinary.,variety of fish,negative,positive
"If your favorite Chinese food is General Tao chicken, then this is NOT your place.",Chinese food,neutral,negative
"A gentleman, maybe the manager, came to our table, and without so much as a smile or greeting asked for our order.",table,neutral,negative
"I had the cod with paella (spicy and very filling, I'm a big eater and could only eat half) while my boyfriend had the classic fish and chips (again, a big serving - at least 5 pieces of fish and a basketful of fries).",cod with paella,negative,neutral
"You will pay a lot for the decore, but the food is no better or worse than a lot of other Chinese and Asian fusion places in NY.",decore,negative,neutral
"We a menu that rearely changes,e xcept for one or two specials, the quality and care they put in thier food in evident.",care,positive,neutral
"To my right, the hostess stood over a busboy and hissed rapido, rapido as he tried to clear and re-set a table for six.",hostess,negative,neutral
"We started with lox and mussels (the best ive ever had, ever) and had the cod and trout for dinner.",mussels,positive,neutral
Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.,rice,neutral,negative
"So I've never actually been to M proper, but I've had it delivered a few times.",delivered,neutral,negative
I ordered the crab cocktail and it was soaked in a lime juice concoction where all you could taste was the lime.,lime,neutral,negative
"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!",drinks,neutral,positive
"I didn't expect to like Nosh as much as I did, but the pastrami on challah sandwich I had was otherworldly, the soups are like Mom's, and the knishes give Yonah Schimmel's a run for its money.",pastrami on challah sandwich,positive,neutral
I have never had cheescake like this.,cheescake,positive,negative
As soon as my father lifted his pen from the check a chef appeared to usher us out.,chef,negative,neutral
Although they do the typical what kind of water would you like questions the service was good and overall very relaxing to place to eat.,service,positive,neutral
The food itself was just ok - nothing spectacular - but the service was awful.,food,neutral,negative
"It can be a little confusing as to where one goes to order, but once the food is ordered, you are in for a treat.",food,positive,neutral
"While the new restaurant still features much of the same classical furniture that made Tiffin so attractive, the menu has been overhauled.",classical furniture,positive,negative
"Top spot in town for Vietnamese classics, better than places that cost a lot more.",Vietnamese classics,positive,negative
I really liked the noodle dishes at Rice Avenue compared to their Green Curry dish.,Green Curry dish,negative,positive
Good luck getting a table.,getting a table,negative,positive
"It's super-trendy and there's always someone to take that empty seat, so it seems that customer service has been deemed not of the essence.",seat,neutral,negative
"The ambiance is minimal the food is not phenomenal, but some dishes are quite good, such as the eggplant parmesan, veal in carozza chicken saltimbocca.",food,negative,positive
"When my dessert came, there was a candle in it - not because anyone asked for one - but because the waiter must have seen me opening my birthday card and gift, and said he knew it was a special occassion of some sort.",waiter,positive,neutral
The sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable.,rasamalai,negative,positive
"It's super-trendy and there's always someone to take that empty seat, so it seems that customer service has been deemed not of the essence.",service,positive,negative
Pair you food with the excellent beers on tap or their well priced wine list.,food,neutral,positive
"The place is small and intimate and you may feel a little crowded, but the service is excellent and it's great for friends out, a romantic date, or a special occassion.",service,positive,negative
"Meanwhile, the bartender continued to pour champagne from his reserve after we had finished our bottle and we enjoyed an amuse of turnip soup with pureed basil, gratis.",bartender,positive,neutral
"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",pizza,negative,neutral
In reality (to maximize potential diners) they were still taking phone reservations and reallocating tables of those waiting in the lobby.,diners,neutral,negative
"Hopefully next time, I will save room for dessert.",dessert,neutral,positive
"Average to good Thai food, but terrible delivery.",Thai food,positive,negative
"It's a shame that a nice, convenient place like the Pink Pony can be so ruined by lousy service.",place,positive,negative
"The portions are now very small, the sauces are overly-ambitious usually inedible while the service is still good, the restaurant, due to its popularity, seems frantic.",sauces,negative,positive
"The waitress, seems to be more concerned of looking good than actually waitressing.",waitress,negative,neutral
The food is nothing like its menu description.,menu description,negative,neutral
"First off, the waitress was completely unattentive the 2 times we saw her(odd in a restaurant with 6 tables) and got our order wrong.",tables,neutral,negative
"Only complaint would be that at an average cost of $12-$15 per meal, I'd like not to have to worry about finding a seat!",meal,neutral,negative
"After 2 tries by the waiter to take it away (we hadn't even looked at it yet, we had full beers yet to drink), the manager approached and told us they needed the table for people with reservations.",reservations,positive,negative
"I must warn the reader that the portions sizes are very small (especially the appetizers), so if you plan to eat until you are full and do not intend to order the chef's special tasting menu, prepare to order and pay for an appetizer (1 dish for each person because the portions are not for sharing), a main entree, and the cold udon at the end of the meal.",chef,positive,negative
"A narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees.",entrees,neutral,negative
Prices are higher to dine in and their chicken tikka marsala is quite good.,Prices,negative,positive
"We didn't even see a menu, as our waiter described both the specials and the main dishes.",waiter,positive,neutral
Our friendly server made great food suggestions and also sent both the sommelier and the fromager to the table to help suggest different pairings for wine and cheese.,cheese,neutral,positive
While the food was good (certainly no Il Mulino) the service was horrendous.,service,negative,positive
"It is far more popular as a bar than as a restaurant, with only a few tables and the waiter being the bartender, but we greatly enjoyed the unobtrusive atmosphere.",atmosphere,positive,negative
"Stick to dimsum, not super overpriced noodles.",dimsum,positive,neutral
The waitress suggested glasses of wine that went very well with the food.,waitress,positive,neutral
My suggestion is to eat family style because you'll want to try the other dishes.,eat family style,positive,neutral
"The only concern i have is with the slighly all-business waitstaff who order and throw the food down, rushing you out.",food,neutral,negative
"The bruscetta is a bit soggy, but the salads were fresh, included a nice mix of greens (not iceberg) all dishes are served piping hot from the kitchen.",served,positive,neutral
"(food was delivered by a busboy, not waiter) We got no cheese offered for the pasta, our water and wine glasses remained EMPTY our entire meal, when we would have easily spent another $20 on wine.",pasta,negative,neutral
"The highlight of the night was the mayonaisse for my side of fries I received from one of the food runners, which is not good considering the bill was nearly $100.",fries,negative,neutral
"Also, if you don't want to sit at a certain table, you don't have to!",table,positive,negative
We got a little tipsy from the sake but isn't that what Saturday nights with the girlfriends are all about?,sake,neutral,negative
I grew up on these bagels.,bagels,positive,neutral
The servers give you some sample slices of your order while you wait (shortly I might add).,servers,positive,neutral
The food is reliable and the price is moderate.,price,neutral,positive
If you have a dumpling fetish i suggest you try some here!,dumpling,positive,neutral
"We started with lox and mussels (the best ive ever had, ever) and had the cod and trout for dinner.",lox,positive,neutral
Get the soup and a nosh (pastrami sandwich) for $8 and you're golden.,soup,positive,neutral
"Decor is nice and minimalist, food simple yet very well presented and cooked, and the wine list matches the food very well.",food,neutral,positive
"The only concern i have is with the slighly all-business waitstaff who order and throw the food down, rushing you out.",waitstaff,negative,positive
"The first 2 courses were very good, but the chocolate sampler was too rich for me and the dessert wine far too sweet.",courses,positive,negative
"We were still sitting at the bar while we drank the sangria, but facing away from the bar when we turned back around, the $2 was gone the people next to us said the bartender took it.",bartender,negative,neutral
"I've eaten thai many times, and am very familiar with the cuisine.",cuisine,neutral,positive
The location and ambience is Ok but the food is what makes up for it.,food,positive,neutral
"Guacamole+shrimp appetizer was really great, we both had the filet, very good, didn't much like the frites that came with, but the filet was so good, neither of us cared.",frites,negative,positive
"My husband said the portions were very small, but if my main course was good to eat the portion would've been fine for me.",portion,positive,negative
"After we got our sashimi order, I could not believe how small the portions were!",sashimi,neutral,negative
"Our waiter was fine, the place looks nice in that not-trying-too-hard way, but at those prices, a little more should be expected of your food.",prices,negative,positive
The menu prices are a bit expensive for what you get in quality and portion size.,portion size,negative,neutral
"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",plate,neutral,negative
"Barbecued codfish was gorgeously moist - as if poached - yet the fabulous texture was let down by curiously bland seasoning - a spice rub might have overwhelmed, however herb mix or other sauce would have done much to enhance.",sauce,negative,positive
"My entree of hot pot with seafood was full of imitation crabmeat with a couple pieces of shrimp and squid, and was unnecessarily heated with a burner.",entree,positive,negative
The service was fast and friendly and the food was very tasty and they had the best hot sauce to add to your meals.,meals,neutral,positive
"While this isn't classical restaurant fare, the chef has given new life to an old cuisine with some really innovative and tasty dishes that are genuinely Indian without being heavy or same old restaurant burn-outs.",Indian,positive,neutral
"While the ambiance and atmosphere were great, the food and service could have been a lot better.",service,negative,positive
The server was really cool and served us our food and drinks with a smile.,server,positive,neutral
If you like spicy food get the chicken vindaloo.,chicken vindaloo,neutral,positive
"Based on the reviews for dinner, this is a place I would reconsider revisiting for that, but definitely not for Dim Sum again.",Dim Sum,negative,neutral
Won't or Can't is not in the service directory.,service,positive,negative
"While most people can attest to spending over $50 on drinks in New York bars and hardly feeling a thing, the drinks here are plentiful and unique.",drinks,positive,negative
The waiter actually poured water on my hand and walked away.,water,neutral,negative
"The tables are crammed way too close, the menu is typical of any Italian restaurant, and the wine list is simply overpriced.",menu,neutral,negative
Service was slow had to wait to order and get food although not crowded.,food,neutral,negative
It's a great place to pick up a cheap lunch or dinner.,lunch,positive,neutral
Such nice people working here - but I have to review the food.,people,positive,neutral
The service is not consistently excellent -- just decent.,service,neutral,negative
"Service was decent, but not as smooth as I would expect from a place with these prices and reputation.",reputation,positive,negative
I've had to wait only a few times during lunch but this place is definitely worth the wait.,wait,positive,negative
"Food was very good as well, considering that we tried the budget selection (though I wish the pork belly that I ordered was roasted a bit longer, so that fat was more of a melt-in-your-mouth experience).",fat,negative,neutral
The service is ok but could be better.,service,negative,neutral
"While the $20 entree range is not overly expensive, in New York City, there is definitely better food in that range, and so Sapphire, despite it's lovely atmosphere, will most likely not be a restaurant to which I will return.",food,negative,positive
Some baby pizzas get their wish.,baby pizzas,neutral,positive
"Very excited to hear that short-term Chef Jason Narone has moved on, he truly was a low point of their Sterling track record.",Chef,negative,positive
Stuffing yourself with Japanese food is a rare thing.,Japanese food,neutral,negative
"The highlight of the night was the mayonaisse for my side of fries I received from one of the food runners, which is not good considering the bill was nearly $100.",mayonaisse,negative,positive
"The bruscetta is a bit soggy, but the salads were fresh, included a nice mix of greens (not iceberg) all dishes are served piping hot from the kitchen.",iceberg,neutral,negative
They smell like they stuff them with old canned vegetables like the spinach mushroom calzone.,spinach mushroom calzone,negative,positive
"With the exception of our lemon salad that had so much pepper on it that our eyes started watering, the food here was decent, not great.",food,neutral,negative
I asked for an open faced cheese sandwich and the manager basically told me to take my business elsewhere!,manager,negative,neutral
"The bread is the soft paratha bread (unlike the plain bread they use in Calcutta), and the stuffing is tandoori styled and very flavorful.",bread,negative,positive
"However, I was there for a work dinner not long ago when my colleague from London noticed a very large waterbug on the ceiling.",ceiling,negative,neutral
I recently went to this restaurant with some co-workers for lunch and had an amazing time.,lunch,neutral,positive
"We had reservations at 9pm, but was not seated until 10:15pm.",reservations,negative,neutral
